Point,Sample ID Lab,Horizon,Observational Method,Potential Series (in progress),To Depth (cm),H Depth(cm),Boundary (Bnd),Matrix Color,Clay,Sand,Silt,"Lab Texture (LPSA, preliminary)",Field Texture,Field Clay %,Structure,Consistence,Notes,Date Sampled,Depth to water table (if known),Taxonomy
34,240351,Btv2,Auger,Bonneau,127-151+,24,,2.5Y6/4,8.465,82.3,9.235,LS,,,2MSBK,FR,2.5Y5/6 concentrations. 5Y7/1 depletions. 10YR4/6 plinthite.,5/29/2024,,
40,240322,Ap,Auger,Greenville,0-13,13,,5YR4/6,28.55,62.9,8.55,SCL,,,1FSBK,,,5/2/2024,,
40,240323,BA,Auger,Greenville,13-30,17,,2.5YR3/6,65.65,29.05,5.3,C ,,,2MSBK,,Organic staining; few charcoal present,5/2/2024,,
40,240324,Bt1,Auger,Greenville,30-70,40,,2.5YR3/6,74.4,22.15,3.45,C ,,,2MSBK,,,5/2/2024,,
40,240325,Bt2,Auger,Greenville,70-127,57,,10R4/6,73.35,23.7,2.95,C ,,,2MSBK,,,5/2/2024,,
40,240326,Bt3,Auger,Greenville,127-156+,29,,10R4/6,73.85,23.75,2.4,C ,,,2MSBK,,,5/29/2024,,
44,240352,Ap1,Auger,Bonneau,0-27,27,,10YR4/2,5.32,85.1,9.58,LS,,,1MGr,,,5/29/2024,,
44,240353,A/E,Auger,Bonneau,27-46,19,,10YR4/2,5.895,83.2,10.905,LS,,,1MSBK,,mixed color; not redox,5/29/2024,,
44,240354,E,Auger,Bonneau,46-63,17,,2.5Y6/4,6.355,83.1,10.545,LS,,,1MSBK,,,5/29/2024,,
44,240355,Bt1,Auger,Bonneau,63-94,31,,10YR6/4,7.245,82.35,10.405,LS,,,2MSBK,,redox: 10YR5/8 concentrations at 3%. 2.5Y6/3 depletions at 2%,5/29/2024,81 cm,
44,240356,Bt2,Auger,Bonneau,94-128,34,,2.5Y5/6,7.14,83.05,9.81,LS,,,2MSBK,,7.5YR5/8 plinthite at 4-5%. 2.5Y6/2 depletions at 4-5%,5/29/2024,,
44,240357,Btvg,Auger,Bonneau,128-158+,30,,10YR6/2,9.14,82.4,8.46,LS,,,2MSBK,,7.5YR5/8 plinthite at 20%. mottled depletions 10YR 6/2 at 45% and 7.5YR6/8 at 35%,5/29/2024,,
53,240358,Ap1,Auger,Lucy,0-26,26,A,10YR3/3,6.25,82.9,10.85,LS,SL,5,1FGr,VFR,,5/29/2024,,
53,240359,Ap2,Auger,Lucy,26-48,22,C,10YR4/4,10.75,78.1,11.15,SL,SL,5,1MGr,VFR,,5/29/2024,,
53,240360,Bt1,Auger,Lucy,48-83,35,C,7.5YR4/6,16.6,73.4,10,SL,SL,12,1MSBK,VFR,,5/29/2024,,
53,240361,Bt2,Auger,Lucy,83-115,32,C,2.5YR4/6,23.2,67.55,9.25,SCL,SL,16,1MSBK,FR,,5/29/2024,,
53,240362,Bt3,Auger,Lucy,115-159+,44,,2.5YR3/6,54.55,41.15,4.3,C ,SCL,24,2MSBK,FR,,5/29/2024,,
54,240363,Ap1,Auger,Lucy,0-18,18,C,10YR4/4,5.15,86.3,8.55,LS,LS,,1FGr,L,,5/29/2024,,
54,240364,Ap2,Auger,Lucy,18-36,18,C,7.5YR4/4,10.05,79.2,10.75,SL,SL,,1FSBK,VFR,,5/29/2024,,
54,240365,Bt1,Auger,Lucy,36-88,52,C,2.5YR4/6,58.55,33.9,7.55,C ,SCL,,2MSBK,FR,,5/29/2024,,
54,240366,Bt2,Auger,Lucy,88-153+,65,,2.5YR4/8,60.15,34.05,5.8,C ,SCL,,2MSBK,FR,,5/29/2024,,
55,250197,Ap,Auger,Greenville,0-35,35,A,7.5YR4/4,,,,,,,1MGr,,,5/20/2025,,
55,250198,Bt1,Auger,Greenville,35-55,20,C,5YR4/6,,,,,,,2MSBK,,few charcoal,5/20/2025,,
55,250199,Bt2,Auger,Greenville,55-100,45,Gr,2.5YR4/6,,,,,,,2MSBK,,few charcoal fragments- large,5/20/2025,,
55,250200,Bt3,Auger,Greenville,100-150+,50,,2.5YR3/6,,,,,,,2MSBK,,few charcoal fragments- large,5/20/2025,,
56,250236,Ap,Auger,Greenville,0-32,32,C,7.5YR4/4,,,,,,,1MGr,L,,5/20/2025,,
56,250237,Bt1,Auger,Greenville,32-57,25,Gr,2.5YR4/6,,,,,,,2MSBK,FR,few charcoal fragments and organic stains,5/20/2025,,
56,250238,Bt2,Auger,Greenville,57-115,58,Gr,2.5YR4/6,,,,,,,2MSBK,FR,,5/20/2025,,
56,250239,Bt3,Auger,Greenville,115-150+,35,,2.5YR4/6,,,,,,,2MSBK,FR,,5/20/2025,,
57,250231,Ap,Auger,,0-25,25,C,10YR3/2,,,,,,,,,,5/20/2025,,
57,250232,BA,Auger,,25-45,20,C,2.5YR3/3,,,,,,,,,,5/20/2025,,
57,250233,Bt1,Auger,,45-81,36,C,2.5YR3/4,,,,,,,,,"common charcoal fragments, large",5/20/2025,,
57,250234,Bt2,Auger,,81-125,44,Gr,2.5YR3/6,,,,,,,,,"common charcoal fragments, large",5/20/2025,,
57,250235,Bt3,Auger,,125-150+,25,,2.5YR4/6,,,,,,,,,"common charcoal fragments, large",5/20/2025,,
59,250230,^C,Auger,,0-50+,50,,2.5YR4/4,,,,,,,2MSBK,,Fill. Did not go farther than 50 cm,5/20/2025,,
61,240327,Ap,Auger,Greenville,0-30,30,,7.5YR3/3,7.045,83.5,9.455,LS,,,1MGr,,,5/2/2024,,
61,240328,BA,Auger,Greenville,30-55,25,,2.5YR3/4,47.75,43.8,8.45,C ,,,2MSBK,,,5/2/2024,,
61,240329,Bt1,Auger,Greenville,55-115,60,,2.5YR4/6,51.75,40.9,7.35,C ,,,2MSBK,,,5/2/2024,,
61,240330,Bt2,Auger,Greenville,115-162+,47,,2.5YR3/6,59.7,35.7,4.6,C ,,,1MSBK,,,5/2/2024,,
62,240367,Ap,Auger,Greenville,0-26,26,A,10YR4/4,5.2,86.65,8.15,LS,SL,6,1FGr,VFR,10%  10YR 5/6 bodies,5/29/2024,,
62,240368,Bt1,Auger,Greenville,26-51,25,C,2.5YR4/6,41.1,48.75,10.15,SC,SCL,22,2MSBK,FR,,5/29/2024,,
62,240369,Bt2,Auger,Greenville,51-109,58,C,2.5YR3/6,54.15,39,6.85,C ,SCL,27,2MSBK,FR,,5/29/2024,,
62,240370,Bt3,Auger,Greenville,109-150+,41,,2.5YR3/6,68.15,28.25,3.6,C ,C,32,2MSBK,FR,,5/29/2024,,
63,240371,Ap1,Auger,Lucy,0-26,26,C,10YR3/3,7.455,80.7,11.845,LS,LS,,1FGr,FR,5% 5YR4/4 bodies,5/29/2024,,
63,240372,Ap2,Auger,Lucy,26-45,19,A,10YR3/3,7.51,79.95,12.54,LS,SL,,1MSBK,FR,20% 10YR3/2 bodies,5/29/2024,,
63,240373,Bt1,Auger,Lucy,45-116,71,G,2.5YR4/6,66.5,28.05,5.45,C ,C,,2CSBK,FT,,5/29/2024,,
63,240374,Bt2,Auger,Lucy,116-152+,36,,2.5YR4/6,66.75,28.4,4.85,C ,CL,,2MSBK,FR,,5/29/2024,,
64,250248,Ap1,Auger,Greenville,0-30,30,C,7.5YR3/3,,,,,,,1MGr,,,5/29/2024,,
64,250249,Ap2,Auger,Greenville,30-41,11,A,5YR3/4,,,,,,,1MGr,,long organic stains from roots,5/29/2024,,
64,250250,BA,Auger,Greenville,41-61,20,Gr,2.5YR4/6,,,,,,,2MSBK,,"common orgainic stains, few rounded quartz",5/29/2024,,
64,250251,Bt1,Auger,Greenville,61-111,50,Gr,2.5YR3/6,,,,,,,2MSBK,,organic stains,5/29/2024,,
64,250252,Bt2,Auger,Greenville,111-150+,39,,2.5YR3/6,,,,,,,2MSBK,,,5/29/2024,,
66,250240,Ap,Auger,,0-35,35,Gr,10YR4/3,,,,,,,1MGr,,,5/29/2024,,
66,250241,Bt1,Auger,,35-62,27,C,5YR4/6,,,,,,,1MSBK,,organic stains,5/29/2024,,
66,250242,Bt2,Auger,,62-100,38,Gr,2.5YR4/8,,,,,,,2MSBK,,"organic stains, rounded quartz",5/29/2024,,
66,250243,Bt3,Auger,,100-150,50,,2.5YR3/6,,,,,,,2MSBK,,,5/29/2024,,
67,250244,Ap,Auger,Greenville,0-20,20,A,7.5YR4/4,,,,,,,1MGr,,,5/29/2024,,
67,250245,Bt1,Auger,Greenville,20-58,38,Gr,2.5YR4/6,,,,,,,2MSBK,,"organic stains, charcoal few",5/29/2024,,
67,240246,Bt2,Auger,Greenville,58-106,48,Gr,2.5YR4/6,,,,,,,2MSBK,,charcoal few,5/29/2024,,
67,240247,Bt3,Auger,Greenville,106-150+,44,,2.5YR3/6,,,,,,,2MSBK,,,5/29/2024,,
68,240331,Ap1,Auger,,0-16,16,A,7.5YR3/3,5.4,85.85,8.75,LS,,,1FGr,,,5/2/2024,,
68,240332,Ap2,Auger,,16-33,17,C,7.5YR3/4,8.08,80.85,11.07,LS,,,1MGr,,,5/2/2024,,
68,240333,Bt1,Auger,,33-77,44,,2.5YR3/6,47.45,42.95,9.6,C ,,,2MSBK,,,5/2/2024,,
68,240334,Bt2,Auger,,77-118,41,,2.5YR3/6,75.35,21.2,3.45,C ,CL,,2MSBK,,Clay increase,5/2/2024,,
68,240335,Bt3,Auger,,118-156+,38,,2.5YR3/6,80,17.5,2.5,C ,L/SL,,2MSBK,,,5/2/2024,,
69,240336,Ap,Auger,,0-18,18,,10YR3/4,5.85,84.45,9.7,LS,,,1FGr,,,5/2/2024,,
69,240337,AB,Auger,,18-30,12,,5YR3/4,18.3,69.55,12.15,SL,,,1MSBK,,organic staining,5/2/2024,,
69,240338,BA,Auger,,30-60,30,,5YR4/6,46.45,42.95,10.6,C ,,,2MSBK,,organic staining; few yellow concretions at 5YR5/8,5/2/2024,,
69,240339,Bt1,Auger,,60-104,44,,2.5YR3/6,67.45,26.85,5.7,C ,,,2MSBK,,,5/2/2024,,
69,240340,Bt2,Auger,,104-150+,46,,2.5YR3/6,78.25,18.8,2.95,C ,,,2MSBK,,,5/2/2024,,
70,250201,Ap,Auger,Greenville,0-29,29,A,7.5YR4/3,,,,,,,1MGr,,,3/20/2025,,
70,250202,BA,Auger,Greenville,29-60,31,C,2.5YR4/6,,,,,,,1MSBK,,few charcoal,3/20/2025,,
70,250203,Bt1,Auger,Greenville,60-115,55,Gr,2.5YR3/6,,,,,,,2MSBK,,few charcoal,3/20/2025,,
70,250204,Bt2,Auger,Greenville,115-150+,139,,2.5YR3/6,,,,,,,2MSBK,,,3/20/2025,,
71,250205,Ap1,Auger,,0-33,33,A,10YR3/2,,,,,,,1MGr,,,3/20/2025,,
71,250206,BA,Auger,,33-44,11,C,7.5YR3/4,,,,,,,1MGr,,,3/20/2025,,
71,250207,Bt1,Auger,,44-71,27,C,5YR3/4,,,,,,,1MSBK,,common charcoal ,3/20/2025,,
71,250208,Bt2,Auger,,71-110,39,Gr,2.5YR3/4,,,,,,,2MSBK,,few charcoal,3/20/2025,,
71,250209,Bt3,Auger,,110-150+,40,,2.5YR3/6,,,,,,,2MSBK,,,3/20/2025,,
72,250210,Ap,Auger,,0-20,20,C,10YR3/4,,,,,,,1MGr,,,3/20/2025,,
72,250211,BA,Auger,,20-40,20,Gr,5YR4/6,,,,,,,1MSBK,,"organic stains, charcoal few",3/20/2025,,
72,250212,Bt1,Auger,,40-78,38,Gr,2.5YR4/6,,,,,,,2MSBK,,,3/20/2025,,
72,250213,Bt2,Auger,,78-150+,72,,2.5YR3/6,,,,,,,2MSBK,,"sub-rounded quartz fragments, fine",3/20/2025,,
73,250214,^Ap,Auger,,0-15,15,C,7.5YR4/6,,,,,,,1MGr,,"peanut residue, charcoal",3/20/2025,,
73,250215,^C1,Auger,,15-43,28,C,5YR4/6,,,,,,,SLSMa,,FILL,3/20/2025,,
73,250216,^C2,Auger,,43-84,41,Gr,5YR3/4,,,,,,,SLSMa,,FILL,3/20/2025,,
73,250217,^C3,Auger,,84-125,41,A,7.5YR5/6,,,,,,,SLSMa,,organic matter throughout ,3/20/2025,,
73,250218,2Bt,Auger,,125-150+,25,,2.5YR4/8,,,,,,,2MSBK,,,3/20/2025,,
75,250253,Ap1,Auger,Greenville,0-17,17,C,10YR3/4,,,,,LS,,1MGr,,,3/20/2025,,
75,250254,Ap2,Auger,Greenville,17-28,11,C,7.5YR4/3,,,,,Sl,,1MSBK,,,3/20/2025,,
75,250255,BA,Auger,Greenville,28-46,18,C,2.5YR4/6,,,,,SCL,,2MSBK,,"organic staining from roots, roots present",3/20/2025,,
75,250256,Bt1,Auger,Greenville,46-75,29,C,2.5YR4/6,,,,,SCL,,2MSBK,,,3/20/2025,,
75,250257,Bt2,Auger,Greenville,75-150+,75,,2.5YR3/6,,,,,C,,2CoSBK,,possibly CL,3/20/2025,,
76,250263,Ap1,Auger,Greenville,0-20,20,C,7.5YR4/3,,,,,,,1MGr,L,,3/20/2025,,
76,250264,Ap2,Auger,Greenville,20-33,13,C,7.5YR4/3,,,,,,,1MGr,L,,3/20/2025,,
76,250265,BA,Auger,Greenville,33-48,15,C,5YR4/4,,,,,,,1MSBK,VFR,organic stains,3/20/2025,,
76,250266,Bt1,Auger,Greenville,48-67,19,C,2.5YR4/6,,,,,,,2MSBK,FR,common 7.5YR5/6,3/20/2025,,
76,250267,Bt2,Auger,Greenville,67-89,22,C,2.5YR3/6,,,,,,,2MSBK,FR,,3/20/2025,,
76,250268,Bt3,Auger,Greenville,89-130,41,Gr,2.5YR3/6,,,,,,,2MSBK,FR,,3/20/2025,,
76,250269,Bt4,Auger,Greenville,130-150+,20,,2.5YR3/6,,,,,,,2MSBK,FR,few 7.5YR5/8,3/20/2025,,
77,250270,Ap1,Auger,,0-27,27,C,10YR3/3,,,,,,,1MGr,,,3/20/2025,,
77,250271,Ap2,Auger,,27-46,19,C,10YR3/3,,,,,,,1MGr,,,3/20/2025,,
77,250272,AE,Auger,,46-71,25,Gr,7.5YR4/6,,,,,SL,,1MSBK,,organic stains. Possibly AB?,3/20/2025,,
77,250273,BE,Auger,,71-104,33,C,5YR4/6,,,,,LS,,1MSBK,,organic stains. Possibly BA?,3/20/2025,,
77,250274,Bt1,Auger,,104-112,8,C,2.5YR4/6,,,,,,,2MSBK,,,3/20/2025,,
77,250275,Bt2,Auger,,112-150+,38,,2.5YR4/6,,,,,,,3CoSBK,,,3/20/2025,,
78,250258,Ap1,Auger,,0-17,17,C,10YR4/3,,,,,,,1MGr,,,3/20/2025,,
78,250259,Ap2,Auger,,17-31,14,C,10YR4/3,,,,,,,1MGr,,,3/20/2025,,
78,250260,AE,Auger,,31-60,29,C,7.5YR4/6,,,,,,,1MSBK,,,3/20/2025,,
78,250261,E,Auger,,60-107,47,C,7.5YR5/8,,,,,,,1MSBK,,organic stains,3/20/2025,,
78,250262,Bt,Auger,,107-150+,43,,5YR5/6,,,,,,,1MSBK,,"few depletions along root channels, <1% charcoal",3/20/2025,,
79,250219,Ap1,Auger,,0-28,28,C,10YR4/3,,,,,,,1MGr,,,3/20/2025,,
79,250220,Ap2,Auger,,28-41,13,C,7.5YR4/4,,,,,,,1MSBK,,"organic stains, common yellow concentrations",3/20/2025,,
79,250221,AE,Auger,,41-60,19,Gr,5YR4/6,,,,,,,1MSBK,,"organic stains, common yellow concentrations, 5YR5/8",3/20/2025,,
79,250222,BE,Auger,,60-102,42,Gr,5YR4/6,,,,,,,1MSBK,,few 5YR5/8,3/20/2025,,
79,250223,Bt1,Auger,,102-118,16,Gr,5YR4/6,,,,,,,1MSBK,,roots present,3/20/2025,,
79,250224,Bt2,Auger,,118-150+,32,,2.5YR4/6,,,,,,,2MSBK,,,3/20/2025,,
80,250225,Ap1,Auger,,0-23,23,,10YR3/3,,,,,,,1MGr,,,3/20/2025,,
80,250226,Ap2,Auger,,23-44,21,,10YR5/3,,,,,,,1MGr,,,3/20/2025,,
80,250227,AE,Auger,,44-85,41,,10YR4/4,,,,,,,2MSBK,,"few depletions, organic staining, 5YR 5/3",3/20/2025,,
80,250228,BE,Auger,,85-135,50,,7.5YR5/6,,,,,LS,,1MSBK,,"common depletions, 7.5YR5/4",3/20/2025,,
80,250229,Bt,Auger,,135-150+,15,,5YR5/8,,,,,SL,,1MSBK,,few depletions 7.5YR5/4,3/20/2025,,
P1,230045,Ap,Auger,Lucy?,0-30,30,,10YR4/2,6.965,83.2,9.835,LS,LS,,,,POSSIBLE FILL,5/15/2023,,
P1,230046,,Auger,Lucy?,30-70,40,,7.5YR4/6,59.75,33.6,6.65,C ,SCL,,,,"Kaolin common, concentrations",5/15/2023,,
P1,230047,,Auger,Lucy?,70-88,18,,10YR3/2,28.85,62.15,9,SCL,SL,18,,,Kaolin few concentrations,5/15/2023,,
P1,230048,,Auger,Lucy?,88-129,41,,10YR4/6,50,42.75,7.25,C ,SC,45,,,Kaolin few concentrations. Charcoal present,5/15/2023,,
P1,230049,,Auger,Lucy?,129-145,16,,2.5Y3/2,8.52,82.9,8.58,LS,LS,8,,,Charcoal present,5/15/2023,,
P1,230050,,Auger,Lucy?,145-168+,23,,10YR5/4,54.85,37.8,7.35,C ,SCL,,,,Kaolin few concentrations. Charcoal present,5/15/2023,,
P2,230051,Ap,Auger,Orangeburg,0-22,22,,10YR4/3,4.825,87.05,8.125,LS,LS,,Gr,,,5/15/2023,,
P2,230052,BA,Auger,Orangeburg,22-39,17,,10YR4/6,17.05,69.95,13,SL,SL,17,1MSBK,,,5/15/2023,,
P2,230053,Bt1,Auger,Orangeburg,39-96,57,,7.5YR5/8,22.6,64.75,12.65,SCL,SL,18,2MSBK,,Few organic stains,5/15/2023,,
P2,230054,Bt2,Auger,Orangeburg,96-162,66,,5YR5/8,29.85,62.1,8.05,SCL,SCL,22,2MSBK,,clay films,5/15/2023,,
P2,230055,Bt3,Auger,Orangeburg,162-191+,29,,10YR6/8,23.35,69.2,7.45,SCL,SL,15,2MSBK,,clay films,5/15/2023,,
P3,230056,Ap,Auger,Greenville,0-28,28,,10YR4/3,5.395,85.8,8.805,LS,LS,,Gr,,,5/15/2023,,
P3,230057,Bt1,Auger,Greenville,28-52,24,,2.5YR3/6,45.2,43.9,10.9,C ,L,,1MSBK,,few organic stains. clay films,5/15/2023,,
P3,230058,Bt2,Auger,Greenville,52-100,48,,2.5YR4/6,64.3,29.05,6.65,C ,CL,32,2MSBK,,clay films,5/15/2023,,
P3,230059,Bt3,Auger,Greenville,100-170,70,,2.5YR4/6,66.25,28.5,5.25,C ,CL,35,2MSBK,,clay films,5/15/2023,,
P3,230060,Bt4,Auger,Greenville,170-188+,18,,2.5YR4/6,67.7,28,4.3,C ,CL,28,1MSBK,,clay films,5/15/2023,,
P4,230061,Ap,Auger,Orangeburg,0-32,32,,10YR4/4,,,,,LS,,Gr,,,5/15/2023,,
P4,230062,BA,Auger,Orangeburg,32-61,29,,5YR5/8,31.65,57.85,10.5,SCL,SL,15,2MSBK,,,5/15/2023,,
P4,230063,Bt1,Auger,Orangeburg,61-98,37,,2.5YR4/8,33.15,57.15,9.7,SCL,SL,16,2MSBK,,clay films,5/15/2023,,
P4,230064,Bt2,Auger,Orangeburg,98-135,37,,5YR4/8,,,,,SCL,21,2MSBK,,clay films,5/15/2023,,
P4,230065,Bt3,Auger,Orangeburg,135-159,24,,5YR5/8,31.9,61.7,6.4,SCL,SL,14,1MSBK,,clay films,5/15/2023,,
P4,230066,Bt4,Auger,Orangeburg,159-188,29,,7.5YR5/8,31.3,62.15,6.55,SCL,SL,10,1MSBK,,clay films,5/15/2023,,
